timestamp,filename,url,drive,dest,expected_bytes,actual_bytes,status,seconds
2026-09-20T00:23:26,pm3094o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3094o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3094o.png,13173371,13173371,OK,13.9
2026-09-20T00:23:34,pm3096o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3096o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3096o.png,13184591,13184591,OK,9.9
2026-09-20T00:23:35,pm3092o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3092o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3092o.png,13175709,13175709,OK,31.6
2026-09-20T00:23:40,pm3097o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3097o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3097o.png,13198043,13198043,OK,13.6
2026-09-20T00:23:46,pm3095o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3095o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3095o.png,13222802,13222802,OK,30.0
2026-09-20T00:23:48,pm3098o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3098o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3098o.png,13184081,13184081,OK,13.9
2026-09-20T00:24:04,pm3102o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3102o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3102o.png,13093717,13093717,OK,16.2
2026-09-20T00:24:11,pm3099o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3099o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3099o.png,13182953,13182953,OK,35.6
2026-09-20T00:24:12,pm3100o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3100o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3100o.png,13187031,13187031,OK,32.0
2026-09-20T00:24:19,pm3101o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3101o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3101o.png,13144098,13144098,OK,33.2
2026-09-20T00:24:22,pm3103o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3103o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3103o.png,13221278,13221278,OK,17.9
2026-09-20T00:24:24,pm3105o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3105o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3105o.png,13140507,13140507,OK,11.8
2026-09-20T00:24:32,pm3107o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3107o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3107o.png,13120078,13120078,OK,10.4
2026-09-20T00:24:35,pm3108o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3108o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3108o.png,13105369,13105369,OK,11.6
2026-09-20T00:24:36,pm3104o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3104o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3104o.png,13173021,13173021,OK,25.5
2026-09-20T00:24:45,pm3109o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3109o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3109o.png,13139966,13139966,OK,12.8
2026-09-20T00:24:50,pm3110o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3110o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3110o.png,13100768,13100768,OK,14.9
2026-09-20T00:24:58,pm3112o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3112o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3112o.png,13126773,13126773,OK,12.3
2026-09-20T00:24:59,pm3113o.png,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm3113o.png,F,F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm3113o.png,13140500,13140500,OK,8.5
