file,bytes,source,status,url
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4564o.png,10458796,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4564o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4562o.png,10416788,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4562o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4449o.png,11469097,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4449o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4554o.png,10516527,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4554o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4568o.png,10598907,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4568o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4453o.png,11409695,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4453o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4457o.png,11149129,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4457o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4455o.png,11176279,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4455o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4451o.png,11491727,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4451o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4570o.png,10562290,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4570o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4566o.png,10545914,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4566o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4461o.png,11108898,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4461o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4572o.png,10380572,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4572o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4463o.png,11139116,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4463o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4465o.png,11042863,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4465o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4574o.png,10477824,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4574o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4467o.png,11082920,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4467o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4576o.png,10471316,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4576o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4459o.png,11186240,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4459o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4469o.png,11145701,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4469o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4471o.png,11145759,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4471o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4582o.png,10472135,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4582o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4578o.png,10427631,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4578o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4473o.png,11162298,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4473o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4477o.png,11171337,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4477o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4584o.png,10473393,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4584o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4580o.png,10471291,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4580o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4586o.png,10424109,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4586o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4479o.png,11243127,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4479o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4481o.png,11199089,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4481o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4594o.png,10379376,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4594o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4475o.png,11182597,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4475o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4588o.png,10435021,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4588o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4483o.png,11155931,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4483o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4596o.png,10371489,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4596o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4485o.png,11091542,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4485o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4487o.png,11107720,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4487o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4590o.png,10422209,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4590o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4489o.png,11077046,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4489o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4592o.png,10435884,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4592o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4491o.png,11068528,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4491o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4598o.png,10322513,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4598o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4600o.png,10351527,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4600o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4495o.png,11267211,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4495o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4604o.png,10508751,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4604o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4602o.png,10502501,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4602o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4608o.png,10528872,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4608o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4497o.png,11217279,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4497o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4606o.png,10525026,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4606o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4614o.png,10572007,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4614o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4610o.png,10551840,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4610o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4499o.png,11171881,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4499o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4612o.png,10619311,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4612o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4493o.png,11232604,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4493o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4501o.png,11118045,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4501o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4503o.png,11091407,DOWNLOADED_2015_RELEASE,OK,https://bigbrain-ftp.loris.ca/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4503o.png
F:\HumanBrain\01_Histology\2D_Final_Sections\Coronal\Png\Full_Resolution\pm4616o.png,10581385,DOWNLOADED_2015_RELEASE,OK,https://ftp.bigbrainproject.org/bigbrain-ftp/BigBrainRelease.2015/2D_Final_Sections/Coronal/Png/Full_Resolution/pm4616o.png
