subject,n_pairs,residual_median,residual_mean,frac_beat_control,wilcoxon_p,cliffs_delta
88,46,4.902371429654995e-05,6.542954226932173e-05,0.6304347826086957,0.1554899379144139,0.07750472589792061
89,46,-1.6883055779550067e-05,2.1319246239543492e-05,0.45652173913043476,0.9869240243922673,0.043478260869565216
90,46,0.00011155443254034998,5.166093429149564e-05,0.6739130434782609,0.08331361428049036,0.138468809073724
91,46,6.452968484565004e-05,0.00016024388005908262,0.6086956521739131,0.09786008776715571,0.12570888468809074
92,46,7.336544963850019e-06,1.5438642445586964e-05,0.5,0.8698164718446875,0.036389413988657845
93,46,3.637767000045001e-05,0.00012559495472167824,0.5652173913043478,0.20960881429070266,0.10869565217391304
95,46,6.957878467295003e-05,6.143658646640433e-05,0.5869565217391305,0.3673772063595422,0.13468809073724008
96,46,0.0,9.40349564939413e-05,0.5,0.4346716399081544,0.06805293005671077
97,46,7.174017072564991e-05,0.00013058576123570437,0.5869565217391305,0.15870930417792006,0.09262759924385633
98,46,2.9410929082050014e-05,2.7396919807817416e-05,0.5434782608695652,0.3790915758820923,0.05151228733459357
99,46,0.00015034506830805,0.0002175661922952848,0.5869565217391305,0.07228943111292091,0.19801512287334594
101,46,-6.660159184749984e-06,2.313359639556953e-05,0.4782608695652174,0.797368725433405,0.034026465028355386
103,46,2.5849995971799977e-05,4.704378148918114e-05,0.5434782608695652,0.5051026799419664,0.08128544423440454
104,46,2.335826247315e-05,0.00015601795967092,0.5217391304347826,0.3880481391264923,0.1053875236294896
105,46,9.100041026785001e-05,8.65014418780826e-05,0.6304347826086957,0.1754726175027378,0.11720226843100189
106,46,0.00013621564229745,0.00010032706924418695,0.6521739130434783,0.07142687142940624,0.15406427221172023
107,46,0.00010386066017390003,5.40914059352826e-05,0.6086956521739131,0.32276561278607707,0.1266540642722117
108,46,4.8834547048850054e-05,6.997044784661523e-05,0.5652173913043478,0.5999797204610295,0.12996219281663515
109,46,2.3498536439850004e-05,0.00018016608849238694,0.5434782608695652,0.12475763825985149,0.055293005671077505
110,46,9.370822955664997e-05,7.56836553149913e-05,0.5652173913043478,0.18434587574300842,0.08270321361058601
111,46,2.9013164360749987e-05,2.8193227106991293e-05,0.5652173913043478,0.3260645065380491,0.05340264650283554
113,46,0.00010859181154790001,0.0002065605110966435,0.6739130434782609,0.019100556688813067,0.11247637051039698
114,46,6.065025993209997e-05,5.98141481834348e-05,0.5652173913043478,0.2604384322263683,0.06899810964083176
115,46,4.788122942790007e-05,4.909827739998609e-05,0.5652173913043478,0.28183894433083134,0.09593572778827977
116,46,0.00012453694488750002,0.00019576537351088485,0.6956521739130435,0.00450141947069155,0.29678638941398866
117,46,2.2138776297799965e-05,7.726112076095654e-05,0.5434782608695652,0.30956844486377055,0.0997164461247637
118,46,0.00019508359622619995,0.0001576383289356913,0.6304347826086957,0.05114436233262828,0.2433837429111531
119,46,3.543755999389997e-05,6.898126487953043e-05,0.5869565217391305,0.18285843089093945,0.09357277882797732
120,46,7.521105422935001e-05,9.762048598831954e-05,0.6304347826086957,0.11691350268667348,0.08412098298676748
121,46,5.152865036220003e-05,6.49068962326826e-05,0.5652173913043478,0.32886028882130935,0.07325141776937619
122,46,0.00012745063294520003,0.00024244127689455568,0.6739130434782609,0.01575415737523328,0.15311909262759923
123,46,5.448033177365004e-05,0.00010127836059439129,0.5652173913043478,0.16032989931920183,0.0893194706994329
124,46,6.597820573944996e-05,0.00025097217004499997,0.5869565217391305,0.024060800393852236,0.10822306238185256
125,46,0.000177724324524,0.0001725296055025674,0.717391304347826,0.005519056941632307,0.1498109640831758
126,46,5.191353552154996e-05,5.1429869041489126e-05,0.5217391304347826,0.28922804421524884,0.0997164461247637
127,46,6.279093686490002e-05,7.386982309624132e-05,0.6086956521739131,0.12610779364198033,0.10066162570888469
128,46,2.788159987215e-05,4.852164005220003e-05,0.5434782608695652,0.5334237668649783,0.0945179584120983
