node,cis_mean,cis_median,cis_sd,degree_mean,strength_mean,cv,top50_rate,topdecile_rate
151,1.7659640674766272e-05,2.641239313112733e-05,0.000299823370745637,74.59222222222222,18642.055253391125,16.977886258696778,0.035555555555555556,0.028888888888888888
152,0.00036092201901483133,0.00036233770517004997,0.00030191889830059583,99.54222222222222,21818.413103221672,0.836521138623546,0.2733333333333333,0.23222222222222222
153,-0.00010438347316108244,-0.00011340758523665,0.00034439940165485386,68.24777777777778,20163.338635149317,-3.299367143334882,0.024444444444444446,0.01888888888888889
154,-0.00034149186946540725,-0.0003586780717862,0.0002796923591096529,51.724444444444444,10035.108781636274,-0.8190308001988476,0.0,0.0
155,-0.0003077489955415948,-0.00030331373681705,0.00024316471718140037,51.532222222222224,9510.37352037626,-0.7901397590379289,0.0,0.0
156,-0.00022396401535582932,-0.00022789362511265002,0.00027231436132488506,58.77,13207.47487748844,-1.2158844397044666,0.0044444444444444444,0.0044444444444444444
157,-0.0005095736327866993,-0.0005485685929198,0.000283062189158462,44.946666666666665,9583.312296827924,-0.5554882963831609,0.0,0.0
158,-0.00041958659026348377,-0.0004362795972649,0.00026421401556974024,48.68666666666667,11642.783558553863,-0.6297008095607257,0.0,0.0
159,-0.0003349107781541343,-0.00033649164158265,0.0002749223510796186,53.94555555555556,14367.339427933899,-0.8208823633412373,0.0022222222222222222,0.0022222222222222222
160,-4.0772355210913216e-05,-4.997894767259932e-05,0.0002574447577571931,68.69777777777777,11696.135504726652,-6.314198834613432,0.013333333333333334,0.01
161,-0.00010271113857685309,-0.0001086916195285,0.0002747308234322663,68.61,16102.437947115815,-2.674790945158303,0.013333333333333334,0.011111111111111112
162,-0.00021846588826062786,-0.0002235500344468,0.0002886775588676806,60.257777777777775,14527.744330784033,-1.321385050847347,0.0033333333333333335,0.0022222222222222222
163,-3.661877215048748e-05,-4.17962330848829e-05,0.00034185255495975775,68.75666666666666,12792.579228635397,-9.335445589352098,0.04666666666666667,0.034444444444444444
164,-0.00029239888413818115,-0.00026865659308635003,0.0003405821021708818,54.66555555555556,10898.648950904822,-1.164785916248334,0.0077777777777777776,0.0077777777777777776
165,-3.0702120765230015e-05,-5.091213726905024e-05,0.00021534887431832135,63.14333333333333,19905.955511708144,-7.014136774623164,0.005555555555555556,0.0033333333333333335
166,-0.00037835107897341496,-0.00039661828927439996,0.00020388875561453134,39.43,8938.98509528372,-0.5388877340266754,0.0,0.0
167,-4.702646450557294e-05,-4.9417447366515026e-05,0.0001917171241950979,51.663333333333334,17526.71946536252,-4.076792210742915,0.005555555555555556,0.005555555555555556
168,0.0002538299074365393,0.00022750237133975,0.00022882954869225306,71.0911111111111,24643.426243005088,0.9015074346566643,0.09444444444444444,0.07222222222222222
169,-7.471704995945705e-05,-8.128894137355425e-05,0.00018992823399198444,60.74,13010.556501277719,-2.541966446681758,0.0,0.0
170,-0.0002033767834457692,-0.00020313095500424999,0.00022922757082154417,48.404444444444444,11053.104651309326,-1.1271078583198664,0.0011111111111111111,0.0011111111111111111
171,0.00025223234908476063,0.00022369063594855,0.0002780399831639185,84.19444444444444,18140.607526442673,1.1023169080920918,0.12444444444444444,0.10444444444444445
172,-0.0001170638609232008,-9.304102922437881e-05,0.00024795079855710405,52.31666666666667,11387.812014544756,-2.1180815035630083,0.0,0.0
173,9.980802249803533e-05,9.552461928675754e-05,0.00021482778988990265,65.5911111111111,22005.834745694316,2.1524100419295595,0.017777777777777778,0.011111111111111112
174,0.0007354824657511031,0.0006322637552503,0.0005229941841597893,111.42222222222222,28420.912597690698,0.7110899423355899,0.5644444444444444,0.5355555555555556
175,-3.3721436605738594e-05,-1.7813103070241043e-05,0.00021748048032397313,58.562222222222225,14335.489912338431,-6.44932429382214,0.0011111111111111111,0.0
176,0.00039046760585207096,0.0003730314733074,0.0003469166314262846,85.47555555555556,22952.431821307284,0.8884645646064536,0.2588888888888889,0.21666666666666667
177,0.000551850550654474,0.00055585152338915,0.0003718032689390332,99.09,31640.254237389556,0.6737390557970605,0.5022222222222222,0.46555555555555556
178,-5.105790442858369e-05,-7.044276627937881e-06,0.00031654340551533645,60.45444444444445,12130.235172372295,-6.199694426513249,0.011111111111111112,0.0077777777777777776
179,-9.97069160606607e-05,-6.203517016199373e-05,0.00033422665353277506,57.026666666666664,13695.810264828819,-3.3520909756093036,0.012222222222222223,0.0077777777777777776
180,-0.00029540249389027655,-0.00030142942099165,0.00023224375688668254,43.43666666666667,12712.476477807082,-0.786194299947063,0.0,0.0
181,0.00010260378391589603,8.339172528967564e-05,0.00029724721155784394,75.90222222222222,23796.973809406045,2.8970394678767057,0.06666666666666667,0.05555555555555555
182,-0.00013960994887123287,-6.93707424193861e-05,0.00036778095484608366,52.81333333333333,8803.208498273632,-2.6343463185800666,0.005555555555555556,0.0044444444444444444
183,-0.00020725413618098582,-0.0001778002422232,0.00035684664387865224,51.12111111111111,12215.55630408316,-1.7217829783963101,0.008888888888888889,0.0077777777777777776
184,-2.8364844563703384e-05,-3.202002827739022e-05,0.0002751928575327607,70.47666666666667,16316.39376949076,-9.701899014983738,0.023333333333333334,0.02
185,-0.00017814613912069303,-0.00018196916988424998,0.0002231843630398902,55.815555555555555,15274.274238746704,-1.2528161662189266,0.0011111111111111111,0.0
