cis_mean,cis_median,cis_sd,node,mean_rank,top50_rate
6.629379115687783e-05,8.270335834917433e-05,0.0004674391121603313,259,209.3139825218477,0.14731585518102372
6.57836715041286e-05,4.772872492082e-05,0.0002170749260484637,421,199.67977528089887,0.02122347066167291
6.550037672790592e-05,6.135474659974708e-05,0.00017984578006688463,322,196.26966292134833,0.011235955056179775
6.512291320942971e-05,1.0126267878112956e-05,0.0003429496558622036,122,212.1004993757803,0.07615480649188515
6.437376937965425e-05,6.703357119514849e-05,0.00024282564878945316,114,199.7265917602996,0.009987515605493134
6.127325118705006e-05,0.0001260720131973,0.00034434363267296766,386,197.65355805243445,0.04369538077403246
5.751495545179345e-05,3.822315975662973e-05,0.00022996873918306569,113,203.35705368289638,0.006242197253433208
5.7286247702858225e-05,6.892282337207518e-05,0.00026822905363172307,222,200.39450686641698,0.019975031210986267
5.471839724795003e-05,8.609572361199578e-05,0.0004745176979016142,14,208.65543071161048,0.1285892634207241
5.236163993047507e-05,-1.6893300287711894e-05,0.0003576056298468996,3,215.48813982521847,0.07865168539325842
5.1945435506798435e-05,2.2238478298541814e-05,0.00036511438999220193,236,211.94257178526843,0.09488139825218476
5.142529798720081e-05,4.83719859598909e-05,0.00014227673324375417,416,200.14357053682897,0.0
5.089424148448205e-05,6.22154981808895e-05,0.00034593006922764753,18,207.4119850187266,0.07740324594257178
4.9775971496867724e-05,5.233399516096906e-05,0.00028315608172678334,273,207.05493133583022,0.031210986267166042
4.910087264169298e-05,4.413241459330565e-05,0.0002481591249292056,323,205.05867665418228,0.02746566791510612
4.8770226900734505e-05,5.799116343729257e-05,0.0002776180394638355,260,208.2952559300874,0.02871410736579276
4.678607127731622e-05,4.470706402852336e-05,0.00021653114880210974,247,204.2421972534332,0.012484394506866416
4.6456496690852764e-05,5.035246107184108e-05,0.00020565977925084578,216,205.32022471910113,0.006242197253433208
4.511259673673274e-05,4.695903694817283e-05,0.0002764728047571088,292,207.95630461922596,0.031210986267166042
4.190404572571713e-05,4.257079517795862e-05,0.0002038984732553238,102,206.103620474407,0.008739076154806492
3.997905853291156e-05,-1.862667264381092e-05,0.0003305769931434326,312,217.39450686641698,0.0599250936329588
3.9247847797670465e-05,-3.239266777543133e-05,0.00045015937146373325,283,225.56866416978775,0.12983770287141075
3.891311985249782e-05,4.845298474061345e-05,0.0002790708139358584,138,210.3863920099875,0.031210986267166042
3.328442906071819e-05,3.2740178112040404e-05,0.0002901068454031242,369,212.91448189762795,0.046192259675405745
3.3062736176220715e-05,7.161189127003323e-05,0.00032538051480942594,388,210.3401997503121,0.033707865168539325
3.156927648946884e-05,1.3155271406466586e-05,0.00022513045020757931,1,212.80774032459425,0.02247191011235955
3.10327572588109e-05,7.17053959183403e-05,0.0003976337864525482,59,212.3270911360799,0.08739076154806492
2.790094570641187e-05,1.9161524816673737e-06,0.00026731577082597484,394,216.79650436953807,0.03245942571785269
2.6801110677901898e-05,2.9122424849561388e-05,0.0004271953491877207,325,221.67915106117354,0.10486891385767791
2.550452953073798e-05,-2.413300994079816e-05,0.0002786531871454238,201,221.35330836454432,0.031210986267166042
2.2639856417267413e-05,-8.302910844700075e-06,0.0003369100881887524,192,224.5661672908864,0.05867665418227216
2.0771372096352433e-05,-1.2967483339140785e-06,0.00029954365125398275,365,220.3876404494382,0.033707865168539325
1.7121669079952633e-05,-2.5590506817120556e-05,0.00029959728091395846,19,223.01685393258427,0.04868913857677903
1.639413925099898e-05,2.7384835340813703e-05,0.00030095682707708223,151,218.82958801498128,0.033707865168539325
1.5174969619107953e-05,-1.4958527483660811e-06,0.00028597289740968466,374,223.42009987515607,0.02871410736579276
1.4763795384360513e-05,7.98404841642034e-06,0.0003106822945614676,119,221.3139825218477,0.04119850187265917
1.4738162513130366e-05,1.3683313775921323e-05,0.00022344319238591518,245,217.63046192259677,0.012484394506866416
1.0554011971258138e-05,-2.105916130180209e-05,0.0002594722218080163,100,224.1541822721598,0.02871410736579276
9.495843385449902e-06,4.230217436736259e-06,0.0002317951740173191,383,220.62609238451935,0.011235955056179775
3.6274100938314504e-06,1.6184254806722454e-05,0.00023183727547248774,218,221.2921348314607,0.009987515605493134
