node,stouffer_z,p_one_sided,q_bh,subjects_with_nulls
234,-inf,1.0,1.0,100
235,-inf,1.0,1.0,100
236,-inf,1.0,1.0,100
237,-inf,1.0,1.0,100
238,-inf,1.0,1.0,100
239,-inf,1.0,1.0,100
240,-inf,1.0,1.0,100
241,-inf,1.0,1.0,100
242,-inf,1.0,1.0,100
243,-inf,1.0,1.0,100
244,-inf,1.0,1.0,100
245,-inf,1.0,1.0,100
246,-inf,1.0,1.0,100
247,-inf,1.0,1.0,100
248,-inf,1.0,1.0,100
249,-inf,1.0,1.0,100
250,-inf,1.0,1.0,100
251,-inf,1.0,1.0,100
252,-inf,1.0,1.0,100
253,-inf,1.0,1.0,100
254,-inf,1.0,1.0,100
255,-inf,1.0,1.0,100
256,-inf,1.0,1.0,100
257,-inf,1.0,1.0,100
258,-inf,1.0,1.0,100
259,-inf,1.0,1.0,100
260,-inf,1.0,1.0,100
261,-inf,1.0,1.0,100
262,-inf,1.0,1.0,100
263,-inf,1.0,1.0,100
264,-inf,1.0,1.0,100
265,-inf,1.0,1.0,100
266,-inf,1.0,1.0,100
267,-inf,1.0,1.0,100
268,-inf,1.0,1.0,100
269,-inf,1.0,1.0,100
270,-inf,1.0,1.0,100
271,-inf,1.0,1.0,100
272,-inf,1.0,1.0,100
273,-inf,1.0,1.0,100
274,-inf,1.0,1.0,100
275,-inf,1.0,1.0,100
276,-inf,1.0,1.0,100
277,-inf,1.0,1.0,100
278,-inf,1.0,1.0,100
279,-inf,1.0,1.0,100
280,-inf,1.0,1.0,100
281,-inf,1.0,1.0,100
282,-inf,1.0,1.0,100
283,-inf,1.0,1.0,100
284,-inf,1.0,1.0,100
285,-inf,1.0,1.0,100
286,-inf,1.0,1.0,100
287,-inf,1.0,1.0,100
288,-inf,1.0,1.0,100
289,-inf,1.0,1.0,100
290,-inf,1.0,1.0,100
291,-inf,1.0,1.0,100
292,-inf,1.0,1.0,100
293,-inf,1.0,1.0,100
294,-inf,1.0,1.0,100
295,-inf,1.0,1.0,100
296,-inf,1.0,1.0,100
297,-inf,1.0,1.0,100
298,-inf,1.0,1.0,100
299,-inf,1.0,1.0,100
300,-inf,1.0,1.0,100
301,-inf,1.0,1.0,100
302,-inf,1.0,1.0,100
303,-inf,1.0,1.0,100
304,-inf,1.0,1.0,100
305,-inf,1.0,1.0,100
306,-inf,1.0,1.0,100
307,-inf,1.0,1.0,100
308,-inf,1.0,1.0,100
309,-inf,1.0,1.0,100
310,-inf,1.0,1.0,100
311,-inf,1.0,1.0,100
312,-inf,1.0,1.0,100
313,-inf,1.0,1.0,100
314,-inf,1.0,1.0,100
315,-inf,1.0,1.0,100
316,-inf,1.0,1.0,100
317,-inf,1.0,1.0,100
318,-inf,1.0,1.0,100
319,-inf,1.0,1.0,100
320,-inf,1.0,1.0,100
321,-inf,1.0,1.0,100
322,19.950789487149997,7.37701205874971e-89,9.611192853685337e-88,100
323,-inf,1.0,1.0,100
324,-inf,1.0,1.0,100
325,-inf,1.0,1.0,100
326,-inf,1.0,1.0,100
327,-inf,1.0,1.0,100
328,-inf,1.0,1.0,100
329,-inf,1.0,1.0,100
330,-inf,1.0,1.0,100
331,-inf,1.0,1.0,100
332,-inf,1.0,1.0,100
333,-inf,1.0,1.0,100
334,-inf,1.0,1.0,100
335,-inf,1.0,1.0,100
336,-inf,1.0,1.0,100
337,-inf,1.0,1.0,100
338,-inf,1.0,1.0,100
339,-inf,1.0,1.0,100
340,-inf,1.0,1.0,100
341,-inf,1.0,1.0,100
342,-inf,1.0,1.0,100
343,-inf,1.0,1.0,100
344,-inf,1.0,1.0,100
345,-inf,1.0,1.0,100
346,-inf,1.0,1.0,100
347,-inf,1.0,1.0,100
348,-inf,1.0,1.0,100
349,-inf,1.0,1.0,100
350,-inf,1.0,1.0,100
351,-inf,1.0,1.0,100
352,-inf,1.0,1.0,100
353,-inf,1.0,1.0,100
354,-inf,1.0,1.0,100
355,-inf,1.0,1.0,100
356,-inf,1.0,1.0,100
357,-inf,1.0,1.0,100
358,-inf,1.0,1.0,100
359,-inf,1.0,1.0,100
360,-inf,1.0,1.0,100
361,-inf,1.0,1.0,100
362,-inf,1.0,1.0,100
363,-inf,1.0,1.0,100
364,-inf,1.0,1.0,100
365,-inf,1.0,1.0,100
366,-inf,1.0,1.0,100
367,-inf,1.0,1.0,100
368,-inf,1.0,1.0,100
369,-inf,1.0,1.0,100
370,-inf,1.0,1.0,100
371,-inf,1.0,1.0,100
372,-inf,1.0,1.0,100
373,-inf,1.0,1.0,100
374,-inf,1.0,1.0,100
375,-inf,1.0,1.0,100
376,-inf,1.0,1.0,100
377,-inf,1.0,1.0,100
378,23.171598902476333,4.4035387092657314e-119,1.5446258857116719e-117,100
379,-inf,1.0,1.0,100
380,-inf,1.0,1.0,100
381,-inf,1.0,1.0,100
382,-inf,1.0,1.0,100
383,-inf,1.0,1.0,100
384,-inf,1.0,1.0,100
385,-inf,1.0,1.0,100
386,-inf,1.0,1.0,100
387,-inf,1.0,1.0,100
388,-inf,1.0,1.0,100
389,-inf,1.0,1.0,100
390,-inf,1.0,1.0,100
391,-inf,1.0,1.0,100
392,-inf,1.0,1.0,100
393,-inf,1.0,1.0,100
394,-inf,1.0,1.0,100
395,-inf,1.0,1.0,100
396,-inf,1.0,1.0,100
397,-inf,1.0,1.0,100
398,-inf,1.0,1.0,100
399,-inf,1.0,1.0,100
400,23.300789227879132,2.1761616387746553e-120,2.3409078261845626e-118,100
401,23.273566933659886,4.106855835411514e-120,2.3409078261845626e-118,100
402,23.273566933659886,4.106855835411514e-120,2.3409078261845626e-118,100
403,-inf,1.0,1.0,100
404,20.01351177545036,2.099961654486782e-89,2.8164191601352133e-88,100
405,-inf,1.0,1.0,100
406,-inf,1.0,1.0,100
407,19.817784975667486,1.045561377448494e-87,1.288583751666252e-86,100
408,14.644544506377676,7.298811851645161e-49,7.924424296071889e-48,100
409,20.864683542199575,5.606708600123508e-97,7.989559755175998e-96,100
410,-inf,1.0,1.0,100
411,23.10719991463494,1.9596190026361194e-118,6.382759037157646e-117,100
412,18.37661309940371,1.0110309057681969e-75,1.1821284436674303e-74,100
413,-inf,1.0,1.0,100
414,23.273566933659886,4.106855835411514e-120,2.3409078261845626e-118,100
415,23.300789227879132,2.1761616387746553e-120,2.3409078261845626e-118,100
416,22.398854009069915,2.0191632221982776e-111,3.6829537172896584e-110,100
417,19.551864406426876,1.9885859641341858e-85,2.386303156961023e-84,100
418,20.692619300132627,2.0183886787000854e-95,2.7890461742037544e-94,100
419,21.427892716856427,3.6714554190386395e-102,5.580612236938732e-101,100
420,17.20246289097424,1.2724054033813943e-66,1.4151630827851605e-65,100
421,19.875692347987247,3.3034370385558215e-88,4.184353582170707e-87,100
422,-inf,1.0,1.0,100
423,-inf,1.0,1.0,100
424,-inf,1.0,1.0,100
425,23.219122345221397,1.459426848137305e-119,7.394429363895679e-118,100
426,18.205879275094848,2.3177551151022397e-74,2.642240831216553e-73,100
427,14.006648735086092,7.097341731018484e-45,7.526483324056811e-44,100
428,23.19190005100215,2.7481276394338584e-119,1.2531462035818394e-117,100
429,-inf,1.0,1.0,100
430,22.886745055056803,3.1484952330312614e-116,7.9761879236791955e-115,100
431,22.082066285466293,2.350480125104298e-108,3.9696997668428146e-107,100
432,22.707819168236576,1.8749782374497273e-114,4.071381315605122e-113,100
433,22.365325093680646,4.282866244616595e-111,7.511488490558336e-110,100
434,-inf,1.0,1.0,100
435,22.60232560377292,2.0556967589492017e-113,4.0756422699166784e-112,100
436,22.987747955562476,3.09069020083733e-117,8.290321950481309e-116,100
437,23.022289287492963,1.394135624554405e-117,3.9732865299800545e-116,100
438,22.715233819201572,1.5838740775624366e-114,3.6112328968423556e-113,100
439,22.744995861858722,8.041855926395658e-115,1.930045422334958e-113,100
440,22.05378213433307,4.3932470262580485e-108,7.15471658562025e-107,100
441,-inf,1.0,1.0,100
442,23.300789227879132,2.1761616387746553e-120,2.3409078261845626e-118,100
443,21.239383212149786,2.0664029662359197e-100,3.0396121051728366e-99,100
444,23.273566933659886,4.106855835411514e-120,2.3409078261845626e-118,100
445,-inf,1.0,1.0,100
446,23.181030988562238,3.537435404388009e-119,1.3442254536674434e-117,100
447,23.084940227171078,3.2799283448818627e-118,9.970982168440862e-117,100
448,22.501244473049443,2.0178940441157522e-112,3.8339986838199296e-111,100
449,-inf,1.0,1.0,100
450,23.181030988562238,3.537435404388009e-119,1.3442254536674434e-117,100
451,23.300789227879132,2.1761616387746553e-120,2.3409078261845626e-118,100
452,-inf,1.0,1.0,100
453,-inf,1.0,1.0,100
454,-inf,1.0,1.0,100
455,-inf,1.0,1.0,100
