rank,node,system,cis_population_mean,degree_population_mean,peer_pool_n,peer_median_cis,cis_excess_ratio,top50_member
36,301,SalVentAttn,0.0005117500448773388,109.15480649188514,19,0.0005541244465497808,0.9235290882106295,True
37,80,DorsAttn,0.0005035082512653749,90.88389513108615,49,0.00036597173161320647,1.3758118667961219,True
38,302,SalVentAttn,0.0004818766446900147,112.13483146067416,16,0.0005556482391051909,0.867233279576343,True
39,404,Subcortical_Cerebellar,0.0004807398669786558,104.24719101123596,23,0.0005317596899795642,0.9040547375772896,True
40,438,Subcortical_Cerebellar,0.00047976508111677,103.14107365792759,25,0.0005317596899795642,0.9022216052803995,True
41,143,Cont,0.000472735537855101,90.91885143570536,49,0.00036597173161320647,1.2917269204680886,True
42,147,Cont,0.00046839039733764624,92.28589263420724,39,0.00040840583425988543,1.1468748926823367,True
43,284,DorsAttn,0.0004598476490234424,90.88514357053683,49,0.00036597173161320647,1.256511389544843,True
44,139,Cont,0.00045594116532808495,95.61797752808988,33,0.00046839039733764624,0.973421248427971,True
45,429,Subcortical_Cerebellar,0.0004514950227992202,93.45942571785268,34,0.00044468438359114186,1.0153156698534758,True
46,377,Default,0.00044917613800873695,94.62921348314607,33,0.00045594116532808495,0.985162499388534,True
47,188,Default,0.0004455797047886779,90.17103620474407,49,0.000362844152086023,1.2280195291201497,True
48,311,SalVentAttn,0.0004437890623936058,88.33707865168539,53,0.00030161832813112863,1.4713597318285923,True
49,450,Subcortical_Cerebellar,0.0004392722576724323,86.67540574282147,53,0.000298548648947705,1.4713590539456,True
50,99,SalVentAttn,0.0004362907543086809,105.55555555555556,22,0.0005353701063579271,0.814932976509888,True
51,316,SalVentAttn,0.00040840583425988543,85.01123595505618,63,0.00025181798578748386,1.621829485224103,False
52,48,SomMot,0.00040688210332214865,85.65667915106117,59,0.00026765389485805053,1.5201800203129396,False
53,176,Default,0.0004024870239478096,86.2247191011236,59,0.00028062149171447675,1.4342701319445876,False
54,107,SalVentAttn,0.000398790903832095,87.60424469413233,51,0.00030161832813112863,1.3221706595320712,False
55,144,Cont,0.00038988541809950437,83.46816479400749,73,0.00023151514182544937,1.6840601224841618,False
56,82,DorsAttn,0.00037350971151923996,84.17852684144819,68,0.000238718500983811,1.5646450106712508,False
57,288,DorsAttn,0.00036597173161320647,91.19475655430712,44,0.0003816975648093722,0.9588002789485452,False
58,448,Subcortical_Cerebellar,0.000362844152086023,83.0474406991261,70,0.00022974812153767207,1.579312812908144,False
59,307,SalVentAttn,0.0003624860392852363,98.33707865168539,29,0.00047976508111677,0.755549025038383,False
60,267,SomMot,0.00035488365561901704,83.26591760299625,72,0.00022974812153767207,1.5446640139811822,False
61,152,Default,0.0003547639644061169,99.06741573033707,29,0.00047976508111677,0.739453491655369,False
62,111,SalVentAttn,0.0003363343857308266,78.37827715355806,84,0.00016940036872431475,1.9854406945133827,False
63,391,Default,0.00033558717914602775,84.69538077403246,62,0.00024567376661538507,1.3659870313764788,False
64,328,Limbic,0.000331133690807796,86.9151061173533,49,0.00030161832813112863,1.0978566616277894,False
65,106,SalVentAttn,0.00030161832813112863,83.02621722846442,70,0.0002272104107038735,1.3274846306414718,False
66,65,SomMot,0.000298548648947705,78.22971285892635,84,0.0001600015530463323,1.8659109443847277,False
67,399,Default,0.00029653623507552797,73.18102372034956,102,9.572314561943904e-05,3.0978530130471253,False
68,31,SomMot,0.00028869615695546627,96.0749063670412,31,0.0004598476490234424,0.6278082699097347,False
69,356,Cont,0.0002867498587199323,76.57802746566792,96,0.00015115334270429204,1.897079175290974,False
70,419,Subcortical_Cerebellar,0.0002839165756227275,82.12609238451935,69,0.00020929235863261045,1.356554904716381,False
71,117,Limbic,0.000281077807764219,77.729088639201,87,0.0001593693636340918,1.7636878340655662,False
72,219,Vis,0.00028062149171447675,83.00624219725343,68,0.0002272104107038735,1.2350732118530194,False
73,230,SomMot,0.00027830821166822386,97.07365792759052,29,0.00046839039733764624,0.5941800114821765,False
